ontology ID	label	editor preferred term	has curation status	alternative label	definition	definition source	example of usage	term editor	editor note	curator note	ontology term requester	term tracker item	logical type	logical note	parent class	detection technique	evaluant	device	input	output	anatomical site	assessed biological trait
ID	A rdfs:label	A editor preferred term	AI has curation status	A alternative label SPLIT=|	AL definition@en SPLIT=|	A definition source SPLIT=|	A example of usage SPLIT=|	A term editor SPLIT=|	A editor note SPLIT=|	A curator note SPLIT=|	A ontology term requester	A term tracker item	CLASS_TYPE		C %	C 'has part' some ( % and 'detection technique') SPLIT=|	C ('has specified input' some (% and 'has role' some 'evaluant role')) and (realizes some ('evaluant role' and ('role of' some %))) SPLIT=|	C ('has specified input' some %) and (realizes some (function and ('characteristic of' some %))) SPLIT=|	C 'has specified input' some %	C 'has specified output' some %	C 'has specified output' some ('is about' some %)	C 'has specified output' some ('is quality measurement of' some %)
OBI:0003501	functional assessment of individual				A physical examination of an organism's ability to perform functional activities.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		physical examination of an organism							
OBI:0003502	facial atrophy assessment				An observational assessment of the loss of facial muscle tissue due to inactivity or disease.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		observational assessment of individual						facial muscle	facial muscle performance
OBI:0003503	tongue atrophy assessment				An observational assessment of the loss of muscle tissue related to tongue movement due to inactivity or disease.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		observational assessment of individual						tongue	facial muscle performance
OBI:0003504	forced cough assessment				A functional assessment of an individual's ability to cough forcefully.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		functional assessment of individual						diaphragm	facial muscle performance
OBI:0003505	speech test assessment				A functional assessment of an individual's ability to understandably repeat spoken sentences.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		functional assessment of individual						mouth	facial muscle performance
OBI:0003506	finger to finger assessment				A functional assessment of an individual's ability to touch index fingers together in front of the sternum without oscillation for a specified duration of time	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		functional assessment of individual						manual digit	upper limb coordination efficacy
OBI:0003507	nose to finger assessment				A functional assessment of an individual's ability to touch their own nose and then touch an examiners finger in front of them and then touch their own nose once more.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		functional assessment of individual						arm	upper limb coordination efficacy
OBI:0003508	dysmetria assessment				A functional assessment of an individual's ability to accurately touch a moving target with their finger and then touch their own chin a number of times in a row.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		functional assessment of individual						arm	upper limb coordination efficacy
OBI:0003509	rapid alternating hands assessment				A functional assessment of an individual's ability to alternate the forearm between pronation and suppination as quickly as possible during a specified duration of time	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		functional assessment of individual						forelimb zeugopod	upper limb coordination efficacy
OBI:0003510	finger taps assessment				A functional assessment of an individual's ability to touch their finger-tip to thumb as many times as possible during a specified duration of time.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		functional assessment of individual						manual digit	upper limb coordination efficacy
OBI:0003511	heel along shin assessment				A functional assessment of an individual's ability to slide their heel back and forth along their contralateral tibia from the patella to the ankle with the contralateral leg extended.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		functional assessment of individual						leg	lower limb coordination efficacy
OBI:0003512	heel to shin assessment				A functional assessment of an individual's ability to tap their heel to the midpoint of the contralateral shin a number of times.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		functional assessment of individual						leg	lower limb coordination efficacy
OBI:0003513	muscle atrophy assessment				An observational assesment of an individual's muscle tissue loss due to inactivity or disease.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		observational assessment of individual						peripheral nervous system	peripheral nervous system function
OBI:0003514	muscle weakness assessment				A functional assessment of an individual's ability to perform muscle movement to overcome gravity or physical resistence.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		functional assessment of individual						peripheral nervous system	peripheral nervous system function
OBI:0003515	vibratory sense assessment				A functional assessment of an individual's ability to sense vibration.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		functional assessment of individual						peripheral nervous system	peripheral nervous system function
OBI:0003516	position sense assessment				A functional assessment of an individual's ability to sense the position of a finger or toe that has been manipulated by minimal random movements.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		functional assessment of individual						peripheral nervous system	peripheral nervous system function
OBI:0003517	deep tendon reflex assessment				A functional assessment of an individual's muscle contraction when a muscle is triggered by a signal from a muscle spindle in response to a stimulus applied to a specific trigger point on the body.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		functional assessment of individual						peripheral nervous system	peripheral nervous system function
OBI:0003518	limits of stability assessment				The functional assessment of an individual's ability to maintain balance, posture or upright stability.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		functional assessment of individual							whole organism stability
OBI:0003519	sitting posture assessment				A limits of stability assessment designed to assess an individual's ability to maintain unsupported posture while sitting over a given time period.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		limits of stability assessment							whole organism stability
OBI:0003520	stance feet apart assessment				A limits of stability assessment designed to assess an individual's ability to maintain a stable stance with feet 20 cm apart.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		limits of stability assessment							whole organism stability
OBI:0003521	stance feet apart assessment, with eyes closed				A limits of stability assessment designed to assess an individual's ability to maintain a stable stance with their eyes closed.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		limits of stability assessment							whole organism stability
OBI:0003522	stance feet together assessment				A limits of stability assessment designed to assess an individual's ability to maintain a stable stance with feet together.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		limits of stability assessment							whole organism stability
OBI:0003523	stance feet together assessment, with eyes closed				A limits of stability assessment designed to assess an individual's ability to maintain a stable stance with feet together and eyes closed.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		limits of stability assessment							whole organism stability
OBI:0003524	tandem stance assessment				A limits of stability assessment designed to assess an individual's ability to maintain a stable stance with feet in tandem placement.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		limits of stability assessment							whole organism stability
OBI:0003525	stance on one foot assessment				A limits of stability assessment designed to assess an individual's ability to maintain a stable stance on one foot.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		limits of stability assessment							whole organism stability
OBI:0003526	tandem walk assessment				A limits of stability assessment designed to assess an individual's ability to maintain balance while walking in a straight line placing steps in tandem.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		limits of stability assessment							whole organism stability
OBI:0003527	gait assessment				A limits of stability assessment designed to assess an individual's manner or pattern of walking.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		limits of stability assessment							whole organism stability
OBI:0003528	bulbar assessment				A functional assessment of an individual's lower cranial nerve function via proxy of facial muscle performance.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		functional assessment of individual							facial muscle performance
OBI:0003529	spontaneous speech assessment				A functional assessment of an individual's ability to articulate spoken words.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		functional assessment of individual							facial muscle performance
OBI:0003530	limb coordination assessment				A functional assessment of an individual's ability to coordinate limb movement.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		functional assessment of individual							limb coordination efficacy
OBI:0003531	upper limb coordination assessment				A limb coordination assessment designed to assess an individual's ability to coordinate upper limb movement.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		limb coordination assessment							upper limb coordination efficacy
OBI:0003532	lower limb coordination assessment				A limb coordination assessment designed to assess an individual's ability to coordinate lower limb movement.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		limb coordination assessment							lower limb coordination efficacy
OBI:0003533	nervous system functionality assessment				A functional assesment of an individual's nerve performance. Specifically the nerves connecting the sensory and motor structures with the central nervous system.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		functional assessment of individual							peripheral nervous system function
OBI:0003534	upright stability assessment				A functional assessment of an individual's ability to maintain upright body posture.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		functional assessment of individual							whole organism stability
OBI:0003535	deep tendon reflex assessment of the knee joint				A deep tendon reflex assessment of an individual's reaction to stimulus applied to a knee joint.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		deep tendon reflex assessment						knee joint	knee joint functionality
OBI:0003536	observational assessment of individual				A physical examination of an organism through visual assesment.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		physical examination of an organism							
OBI:0003537	deep tendon reflex assessment of the ankle joint				A deep tendon reflex assessment of an individual's reaction to stimulus applied to an ankle joint.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		deep tendon reflex assessment						ankle joint	ankle joint functionality
OBI:0003538	deep tendon reflex assessment of the tendon of biceps brachii				A deep tendon reflex assessment of an individual's reaction to stimulus applied to a tendon of biceps brachii.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		deep tendon reflex assessment						tendon of biceps brachii	tendon of biceps brachii functionality
OBI:0003539	deep tendon reflex assessment of the brachioradialis				A deep tendon reflex assessment of an individual's reaction to stimulus applied to a brachioradialis.	Critical Path Institute		Daniel Olson, ORCID: 0000-0002-8134-1207				https://github.com/obi-ontology/obi/issues/1637	subclass		deep tendon reflex assessment						brachioradialis	brachioradialis functionality
