ID,label,has curation status,alternative term,definition,definition source,example of usage,editor note,term editor,ontology term requester,term tracker item,logical type,logical note,parent class,material processing technique,detection technique,evaluant,analyte,device,reagent,molecular label,input,output,target entity,objective,associated axioms
OBI:0002155,venereal disease research laboratory test,,VDRL test,An analyte assay that is meant to detect general antibodies that react with substances that are produced by cellular damage caused by Treponema pallidum indicating a syphilis infection. VDRL tests require a microscope and can be done on cerebrospinal fluid as well as blood.,OBI,,,"Chris Stoeckert, Bjoern Peters, Randi Vita, James Overton",NCI BBRB,https://github.com/obi-ontology/obi/issues/825,subclass,,analyte assay,,,,'immunoglobulin complex',,,,,,,,
OBI:0002156,rapid plasma reagin test,,RPR assay,An analyte assay that is meant to detect with the aid of carbon or charcoal particles general antibodies that react with substances that are produced by cellular damage caused by Treponema pallidum indicating a syphilis infection. RPR tests can be done without a microscope.,http://www.differencebetween.net/science/health/difference-between-vdlr-and-rpr/,,,"Chris Stoeckert, Bjoern Peters, Randi Vita, James Overton",NCI BBRB,https://github.com/obi-ontology/obi/issues/825,subclass,,analyte assay,,,,'immunoglobulin complex',,,,,,,,
OBI:0002157,HBV surface antigen assay,,HBsAg assay,An analyte assay that is meant to detect hepatitis B virus (HBV) surface antigens.,OBI,,,"Chris Stoeckert, Bjoern Peters, Randi Vita, James Overton",NCI BBRB,https://github.com/obi-ontology/obi/issues/825,subclass,,analyte assay,,,,'Hepatitis B virus',,,,,,,,
OBI:0002158,HIV-1 nucleic acid testing,,HIV-1 NAT,An analyte assay that is meant to detect human immunodeficiency virus (HIV-1) nucleic acids.,OBI,,,"Chris Stoeckert, Bjoern Peters, Randi Vita, James Overton",NCI BBRB,https://github.com/obi-ontology/obi/issues/825,subclass,,analyte assay,,,,('nucleic acid' and ('part of' some 'Human immunodeficiency virus 1')),,,,,,,,
OBI:0002159,HCV nucleic acid testing,,HCV NAT,An analyte assay that is meant to detect hepatitis C virus (HCV) nucleic acids.,OBI,,,"Chris Stoeckert, Bjoern Peters, Randi Vita, James Overton",NCI BBRB,https://github.com/obi-ontology/obi/issues/825,subclass,,analyte assay,,,,('nucleic acid' and ('part of' some 'Hepatitis C virus')),,,,,,,,
OBI:0002161,systematic evolution of ligands by exponential enrichment assay,,SELEX,"A binding assay that identifies protein-binding sites on nucleic acids by selecting high-affinity target ligands from a randomized pool. The process is repeated in rounds, then the bound nucleic acids are separated from the unbound nucleic acids and amplified by PCR. ",PMID:21720957,,,Rebecca Tauber,,,subclass,,binding assay,,,,,,,,,,,,
OBI:0002162,footprinting assay,,,"An assay that measures ligand binding and conformational changes by the solvent accessibility of the backbone, bases, or side-chain structures of macromolecules through their sensitivity to chemical or enzymatic cleavage or modification reactions.",DOI: 10.1002/3527600906.mcb.200300025,,,Bjoern Peters,,,subclass,,assay,,,,,,,,,,,,
OBI:0002163,DNAse footprinting assay,,,An enzymatic footprinting assay that determines protein-binding sites on DNA by identifying bound fragments that are protected from DNAse I-catalyzed hydrolysis,OBI development call,,,Rebecca Tauber,,,subclass,,footprinting assay,,,,,,,,,,,,
OBI:0002164,mammalian 2-hybrid assay,,,"A binding assay that increases the expression of a reporter gene in mammalian cells by proteins of interest attached to two portions of the transcriptional activator, bringing those portions closer together.",PMID:9043710|ECO:0001095,,,Rebecca Tauber,,,subclass,,binding assay,,,,,,,,,,,,
OBI:0002165,protein localization assay,,,An assay that determines the specific location of a protein. Subcellular localization is distinguished from tissue-based localization based on the type of microscopy applied.,OBI development call,,,Rebecca Tauber,,,subclass,,assay,,,,,,,,,,,,
OBI:0002166,tissue-based protein localization assay,,,A protein localization assay that determines the specific location of a protein in a living tissue sample.,PMID:14686950,,,Rebecca Tauber,,,subclass,,protein localization assay,,,,,,,,,,,,
OBI:0002167,subcellular protein localization assay,,,A protein localization assay that determines the specific subcellular location of a protein. The location is visualized through electron microscopy. ,ECO,,,Rebecca Tauber,,,subclass,,protein localization assay,,,,,electron microscope,,,,,,,
OBI:0002168,subcellular protein immunohistochemistry assay,,,An immunohistochemistry assay that uses antibodies to display the specific subcellular location of proteins.,ECO,,,Rebecca Tauber,,,subclass,,immunohistochemistry,,,,,,,,,,,,
OBI:0002169,ChIP-qPCR assay,,,A ChIP assay that uses quantitative PCR to determine levels of specific DNA in immunoprecipitated samples.,PMID:18388953,,,Chris Stoeckert,,,subclass,,ChIP assay,,real time polymerase chain reaction assay,,,,,,,,,,
OBI:0002170,genomic SELEX,,,A systematic evolution of ligands by exponential enrichment assay that starts with a library derived from genomic DNA instead of synthetically derived random DNA molecules.,PMID:20541015,,,Chris Stoeckert,,,subclass,,systematic evolution of ligands by exponential enrichment assay,,,,,,,,,,,,
OBI:0002171,dot blot assay,,dot blot analysis,An analyte assay that detects molecules in a mixture dotted on a membrane using DNA probes or antibodies.,PMID:10473518,,,Bjoern Peters,,,subclass,,analyte assay,,,,,,,,,,,,
OBI:0002172,Northwestern blot assay,,Northwestern assay|Northwestern analysis,A direct binding assay that detects interactions of labeled RNA with immobilized protein on a membrane.,PMID:26965261,,,Bjoern Peters,,,subclass,,direct binding assay,,,,,,,,,,,,
OBI:0002173,Southwestern blot assay,,,A direct binding assay that detects interactions of labeled DNA with immobilized protein on a membrane.,PMID:26404144,,,Bjoern Peters,,,subclass,,direct binding assay,,,,,,,,,,,,
OBI:0002174,immunocytochemistry,,,"An immuno staining assay in which samples of intact cells are examined that have had most, if not all, of their surrounding extracellular matrix removed",,,,Bjoern Peters,,,subclass,,immuno staining assay,,,cell,,,,,,,,,
OBI:0002175,ATP bioluminescence assay,,ATP quantitation assay|cell viability ATP quantitation assay,"An analyte assay that detects ATP concentration through light intensity when luciferase catalyzes the oxidation of luciferin in the presence of ATP, magnesium ions, and molecular oxygen.",ECO,,,Rebecca Tauber,,,subclass,,analyte assay,,,,ATP,,,,,,,,
OBI:0002176,electrophysiology assay,,,"An assay that measures the electrical properties of biological cells or tissues. Typically, this assay will generate measurements of voltage changes or electric current (or other associated variables such as impedence or capacitance).",https://en.wikipedia.org/wiki/Electrophysiology,,Note that electrophysiological manipulations also exist which involve processes that alter the electrophysiological properties of cells and tissues.,Gully Burns,,,subclass,,assay,,,,,,,,,,,,
OBI:0002177,patch clamp assay,,,"An intracellular electrophysiology assay where a glass micropipette is sealed to the surface of the cell membrane as a recording electrode to study ion channel activity. The key distinction of this technique is the electrical resistance of the seal between the cell membrane and the pipette is of the order 10-100 gigaohms, permitting high-resolution current measurements over the cell membrane in several different standard configurations.",https://en.wikipedia.org/wiki/Patch_clamp|http://www.annualreviews.org/doi/pdf/10.1146/annurev.ph.46.030184.002323|ECO:0006012,,,Gully Burns,,,subclass,,intra cellular electrophysiology recording,,,,,patch clamp device,,,,,,,
OBI:0002178,whole-cell patch clamp assay,,,"A patch-clamp assay where the electrode is left in place on the cell, as in cell-attached recordings, but the membrane patch has been perforated, providing access from the interior of the pipette to the intracellular space of the cell. Measurements made with this technique involve recording currents through multiple channels simultaneously, over the membrane of the entire cell.",https://en.wikipedia.org/wiki/Patch_clamp#Whole-cell_recording_or_whole-cell_patch|ECO:0006015,,,Gully Burns,,,subclass,,patch clamp assay,,,,,patch clamp device,,,,,,,
OBI:0002179,cell-attached patch clamp assay,,,"A patch-clamp assay where the electrode is left in place on the cell, and the membrane patch has been left intact been perforated. This maintains the separation of the interior of the pipette to the intracellular space of the cell. Measurements made with this technique involve recording currents through multiple channels simultaneously, over the membrane of the entire cell.",https://en.wikipedia.org/wiki/Patch_clamp#Cell-attached_patch,,,Gully Burns,,,subclass,,patch clamp assay,,,,,patch clamp device,,,,,,,
OBI:0002180,inside-out patch clamp assay,,,"A patch-clamp assay where a patch of the membrane is attached to the patch pipette, detached from the rest of the cell, and the cytosolic surface of the membrane is exposed to the external media, or bath. This provides the experimenter has access to the intracellular surface of the membrane via the bath and can manipulate the environment at the intracellular surface of single ion channels. For example, channels that are activated by intracellular ligands can then be studied through a range of ligand concentrations.",https://en.wikipedia.org/wiki/Patch_clamp#Inside-out_patch|http://www.leica-microsystems.com/science-lab/the-patch-clamp-technique/,,,Gully Burns,,,subclass,,patch clamp assay,,,,,patch clamp device,,,,,,,
OBI:0002181,outside-out patch clamp assay,,,"A patch-clamp assay where a patch of the membrane is attached to the patch pipette. In this configuration, the external surface of the cell membrane is exposed as the outside of the membrane patch relative to the patch electrode. An outside-out patch starts with a gigaohm seal in a whole-cell recording configuration. The electrode is slowly withdrawn from the cell, until a fragment of membrane bulges away from the cell, which detaches and reforms as a convex membrane on the end of the electrode, with the original external surface of the membrane facing outward from the electrode. This provides the experimenter with access to the extracellular surface of the membrane via the bath and can manipulate the environment at the extracellular surface of single ion channels.",https://en.wikipedia.org/wiki/Patch_clamp#Outside-out_patch|http://www.leica-microsystems.com/science-lab/the-patch-clamp-technique/,,,Gully Burns,,,subclass,,patch clamp assay,,,,,patch clamp device,,,,,,,
OBI:0002182,voltage clamp assay,,,An cellular electrophysiology assay where the membrane potential of a cell is controlled by the experimentalist. This is accomplished through a feedback mechanism where any change in membrane potential is countered by permitting electrical current to flow into or out of the cell.,https://en.wikipedia.org/wiki/Voltage_clamp,,,Gully Burns,,,subclass,,intra cellular electrophysiology recording,,,,,voltage clamp device,,,,,,,
OBI:0002183,two electrode voltage clamp assay,,TEVC,"The two electrode voltage clamp (TEVC) method utilizes two low-resistance pipettes, one sensing voltage and the other injecting current. The microelectrodes are filled with conductive solution and inserted into the cell to artificially control membrane potential. The membrane acts as a dielectric as well as a resistor, while the fluids on either side of the membrane function as capacitors.[9] The microelectrodes compare the membrane potential against a command voltage, giving an accurate reproduction of the currents flowing across the membrane. Current readings can be used to analyze the electrical response of the cell to different applications. This technique is mainly used in the Oocyte preparation.",https://en.wikipedia.org/wiki/Voltage_clamp#Two-electrode_voltage_clamp_using_microelectrodes,,,Gully Burns,,,subclass,,voltage clamp assay,,,,,voltage clamp device,,,,,,,
OBI:0002184,cut open oocyte voltage clamp assay,,COVG,"The cut-open oocyte Vaseline gap (COVG) voltage-clamp technique is designed to solve weaknesses in the two elextrode voltage clamp by maximizing the benefits of the Xenopus oocyte expression system by improving on clamp speed, signal-to-noise ratio, and ability to effectively perfuse the oocyte. In this way, it was possible to combine the most popular transient expression system, and the associated benefits of molecular cloning and site-directed mutagenesis, with the superior voltage-clamp properties of cut-open cell techniques.",https://www.ncbi.nlm.nih.gov/pubmed/9711615,,,Gully Burns,,,subclass,,voltage clamp assay,,,,,voltage clamp device,,,,,,,
OBI:0002185,current clamp assay,,,"The current clamp technique records the membrane potential by injecting current into a cell through the recording electrode. Unlike in the voltage clamp mode, where the membrane potential is held at a level determined by the experimenter, in ""current clamp"" mode the membrane potential is free to vary, and the amplifier records whatever voltage the cell generates on its own or as a result of stimulation. This technique is used to study how a cell responds when electric current enters a cell; this is important for instance for understanding how neurons respond to neurotransmitters that act by opening membrane ion channels.",https://en.wikipedia.org/wiki/Electrophysiology#Current_clamp,,,Gully Burns,,,subclass,,intra cellular electrophysiology recording,,,,,,,,,,,,
OBI:0002186,electroencephalography,,EEG,An extracellular electrophysiology assay where electrodes are mounted outside the brain (either on the surface of the scalp on onto the brain surface itself during surgery) to measure the electrical field over the external surface.,,,,Gully Burns,,,subclass,,extracellular electrophysiology recording,,,,,,,,,,,,
OBI:0002187,single-unit recording,,,"An extracellular electrophysiology assay where a single microelectrode is placed in close proximity to a single neuron to measure voltage and current changes over time. This is the technicque used by Hubel and Wiesel to measure firing properties of primary visual cortex neurons in the 1950s in their original Nobel-prize winning study. A classic, old technique.",http://www.thieme.com/media/samples/pubid-80418214.pdf,,"Can be used on any cell, not just neurons.",Gully Burns,,,subclass,,extracellular electrophysiology recording,,,(cell and ('has part' some 'neuron part')),,micro electrode,,,,,action potential,,
OBI:0002188,multi-unit recording,,,An extracellular electrophysiology assay where a collection of microelectrodes (often in an 'array' configuration) is placed into neural tissue to measure the distribution of voltage and current changes for a population of cells over time.,,,,Gully Burns,,,subclass,,extracellular electrophysiology recording,,,,,,,,,,,,
OBI:0002189,local field potential recording,,,An extracellular electrophysiology assay where a microelectrode is placed in the extracellular space of brain tissue to measure action potential and compared to an electrode either outside or inside that tissue.,doi:10.1007/978-1-4614-7320-6_723-1,,,Gully Burns,,,subclass,,extracellular electrophysiology recording,,,(tissue and ('located in' only brain)),,micro electrode,,,,,action potential,,
OBI:0002436,RNA interactome capture,,,"An assay that identifies RNA binding proteins by cross-linking RNA and proteins with UV light, then purifying the bound complexes by oligo(dT) capture. Finally, the complexes are analyzed by mass spectrometry.",PMID:26463381,,,Rebecca Tauber,,,subclass,,assay,,mass spectrometry assay,,,,,,,,,,
OBI:0002437,widefield microscopy,,WFM,"A fluorescence microscopy technique where the specimen under investigation is fully bathed in light, as opposed to confocal microscopy in which only a small portion of the specimen is illuminated.",url:http://bitesizebio.com/19409/the-many-flavors-of-widefield-microscopy/|url:https://svi.nl/WideFieldMicroscope,,,Jie Zheng,,,subclass,,fluorescence microscopy,,,,,,,,,,,,
OBI:0002438,nuclear ligation assay,,,An assay that detects the proximity of chromosomal DNA through the use of a ligation reaction in isolated nuclei.,PMID: 8327891,,,Chris S,,,subclass,,assay,,,,,,,,DNA ligase,,,protein and DNA interaction identification objective,
OBI:0002439,chromosome conformation capture assay,,3C assay,"A nuclear ligation assay that detects chromosomal interactions between any two genomic loci. Chromatin segments are cross-linked, cut by restriction enzymes, ligated, and finally analyzed by PCR.",PMID:11847345|http://www.nature.com/nprot/journal/v2/n7/full/nprot.2007.243.html,,,Chris S,,,subclass,,nuclear ligation assay,,,,,,,,,,,chromosome conformation identification objective,
OBI:0002440,Hi-C assay,,,A chromosome conformation capture assay that detects genome-wide chromosomal interactions. High-throughput techniques are used to sequence the ligated fragments after cross-linking and cutting with restriction enzymes.,PMID:20461051,,,Chris S,,,subclass,,chromosome conformation capture assay,,,,,,,,,,,,
OBI:0002441,physical examination of individual,,,"An assay that produces a description of the qualities of an entity that has not been transformed, through observation and physical, non-invasive techniques.",,,,,,,subclass,,assay,,,,,,,,,,,,
OBI:0002442,hydroxyl-radical footprinting assay,,,"A footprinting assay that uses the reaction of hydroxyl radicals with side-chain sites in molecules (proteins, DNA, etc)  with the resultant mass shift demonstrating the site of modification, used to  to asses the accessibility of that site.",PMID:21770468,,,Jie Zheng,,,subclass,,footprinting assay,,,molecular entity,,,oxygen radical,,,,,,
OBI:0002443,methidiumpropyl-EDTA-iron(II) footprinting assay,,MPE-Fe(II) footprinting,A footprinting assay that determines protein-binding sites on DNA by partial cleavage of ligand-protected DNA restriction fragments with methidium-propyl-EDTA (MPE). MPE-Fe(II) in the presence of oxygen efficiently catalyzes the non-specific clevage of DNA.,PMID:6225070|PMID:6435669,,,Jie Zheng,,,subclass,,footprinting assay,,,DNA extract,,,EDTA methidiumpropylamide,,,binding datum,,,
OBI:0002445,transcription start site mapping by primer extension assay,,,"A transcription profiling assay in which the transcription start site for a gene is determined by identifying the 5' end of mRNA. A radio-labeled primer is annealed to a complementary mRNA sequence near the 3' end, then cDNA is synthesized until the 5' end is reached.",PMID:23378648|url:https://en.wikipedia.org/wiki/Primer_extension,,,Rebecca Tauber,,,subclass,,transcription profiling assay,,,,,,,,RNA extract,sequence data,gene expression,transcription start site identification objective,
OBI:0002446,proteomic profiling design,,,"A study design in which proteins in a sample are detected, quantified or otherwise analysed.",OBI:0001441,,,Dan Berrios,,,subclass,,study design,,,,,,,,,,,,
OBI:0002447,suppression subtractive hybridization,,SSH|subtractive hybridization,"An artificially induced nucleic acid hybridization that is performed to compare gene expression in different cell or tissue types based on normalization and suppression, which creates a subtracted cDNA or genomic DNA library.",PMID:14970460,,,Rebecca Tauber,,,subclass,,artificially induced nucleic acid hybridization,,,,,,,,,,,,
OBI:0002448,differential screening hybridization,,DSH|differential screening,An artificially induced nucleic acid hybridization that is performed to identify differentially expressed genes through hybridization of cDNA probes.,PMID:25472628,,,Rebecca Tauber,,,subclass,,artificially induced nucleic acid hybridization,,,,,,,,,,,,
OBI:0002457,precision nuclear run-on sequencing assay,,precision nuclear run-on and sequencing assay|PRO-Seq,"An RNA-seq assay that maps the genome-wide distribution of transcriptionally-engaged Pol II at base-pair resolution by using biotin-labeled ribonucleotide triphosphate analogs (biotin-NTP) for nuclear run-on reactions, allowing the efficient affinity purification of nascent RNAs for high throughput sequencing from their 3' ends.",PMID:23430654,,,Rebecca Tauber,,https://github.com/obi-ontology/obi/issues/876,subclass,,RNA-seq assay,reverse transcribed polymerase chain reaction,,,,,,,,,,,
OBI:0002458,chromosome conformation capture-on-chip assay,,circularized chromosome conformation capture assay|4C assay,"A nuclear ligation assay which uses cross-linking of proteins to proteins and DNA, followed by two rounds of digestion and ligation, inverse PCR, and characterization by microarray or DNA sequencing. This enables unbiased genome-wide screens for DNA contacts made by single genomic sites of interest.",url:http://www.sciencedirect.com/science/article/pii/B9780123919380000045,,,Rebecca Tauber,,https://github.com/obi-ontology/obi/issues/875,subclass,,nuclear ligation assay,,,,,,,,,,,,
OBI:0002459,genotype phasing by Hi-C assay,,haplotype reconstruction by Hi-C assay,A genotyping assay in which carbon-copy chromosome conformation is used to detect polymorphism in DNA samples.,PMID:19815776|url:https://www.nature.com/articles/nbt.2728,,,Rebecca Tauber,,https://github.com/obi-ontology/obi/issues/828,subclass,,genotyping assay,,Hi-C assay,,,,,,,,,,
OBI:0600031,enzyme-linked immunospot assay,,ELISPOT assay,A cytometry assay in which cells are cultured on a surface coated with a capture antibody binding a secretory material of interest which subsequently gets stained resulting in a spot for each cell producing the secretory material of interest.,IEDB,"Determination of the frequency of cells producing IFN-gamma in response to viral peptides by placing effector cells on a anti IFN-gamma coated plate, and adding antigen presenting cells pulsed with a peptide. After washing, the bound IFN-gamma is detected with a secondary antibody linked to a dye that visualizes as one spot per cell.",,IEDB,,,subclass,logical definition does not capture details of processing,cytometry assay,,,cultured cell population,,,"immunoglobulin complex, circulating",,,,,,
OBI:0600045,3D structure determination assay,,,An assay that determines the 3-dimensional configuration of an input material.,IEDB,The use of X-ray crystallography to determine the 3D coordinates of atoms in a protein.,,IEDB,,,equivalent,,assay,,,,,,,,,3D structural organization datum,,,
OBI:9999994,chromium release assay,,,An in vitro cell killing assay in which radioactive chromium is absorbed by cells and released into supernatant when the cells die. The amount of radioactivity measured in the supernatant is a proxy for the number of cells that have died.,IEDB,"Autologous EBV-transformed B-LCL were used as target cells for the influenza virus-specific CTL assays. Equal volumes of target and effector cells were added to triplicate wells of 96-well tissue culture plates, and 1:2 serial dilutions of effectors were made, producing effector-to-target (E:T) ratios of 100:1, 50:1, 25:1, and 12.5:1. After a 4-h incubation of the effector cells with the target cells, supernatants were collected following brief centrifugation and transferred to polystyrene tubes to be counted with the LKB 1272 Clinigamma counter (Wallac). Percent specific killing was determined with the following equation: (experimental 51Cr release - spontaneous 51Cr release)/(maximum 51Cr release - spontaneous 51Cr release) x 100.",,"PlanAndPlannedProcess Branch, IEDB",,,subclass,logical definition is not capturing how chromium is utilized as a marker of cell death,in vitro cell killing assay,,radioactivity detection,,,,,chromium-51,,,,,
