ontology ID	label	editor preferred term	has curation status	alternative label	definition	definition source	example of usage	term editor	editor note	curator note	ontology term requester	term tracker item	axiom
ID	LABEL	A editor preferred term	AI has curation status	A alternative label SPLIT=|	AL definition@en	A definition source SPLIT=|	A example of usage SPLIT=|	A term editor SPLIT=|	A editor note SPLIT=|	A curator note SPLIT=|	A ontology term requester	A term tracker item	EC %
OBI:0003243	blood assay datum				A data item that is the specified output of a blood assay.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1428	('data item' and 'is specified output of' some 'blood assay')
OBI:0003244	blood microbiology datum				An organism detection datum that is the specified output of a blood microbiology assay.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1428	('organism detection datum' and 'is specified output of' some 'blood microbiology assay')
OBI:0003245	feces assay datum				A data item that is the specified output of a feces assay.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1428	('data item' and 'is specified output of' some 'feces assay')
OBI:0003246	feces microbiology datum				An organism detection datum that is the specified output of a feces microbiology assay.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1428	('organism detection datum' and 'is specified output of' some 'feces microbiology assay')
OBI:0003247	urine assay datum				A data item that is the specified output of a urine assay.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1428	('data item' and 'is specified output of' some 'urine assay')
OBI:0003248	urine microbiology datum				An organism detection datum that is the specified output of a urine microbiology assay.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1428	('organism detection datum' and 'is specified output of' some 'urine microbiology assay')
OBI:0003249	induced sputum assay datum				A data item that is the specified output of a induced sputum assay.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1428	('data item' and 'is specified output of' some 'induced sputum assay')
OBI:0003251	induced sputum microbiology datum				An organism detection datum that is the specified output of an induced sputum microbiology assay.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1428	('organism detection datum' and 'is specified output of' some 'induced sputum microbiology assay')
OBI:0003252	cerebrospinal fluid assay datum				A data item that is the specified output of a cerebrospinal fluid assay.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1428	('data item' and 'is specified output of' some 'cerebrospinal fluid assay')
OBI:0003253	cerebrospinal fluid microbiology datum				An organism detection datum that is the specified output of a cerebrospinal fluid microbiology assay.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1428	('organism detection datum' and 'is specified output of' some 'cerebrospinal fluid microbiology assay')
OBI:0003254	endotracheal aspirate assay datum				An organism detection datum that is the specified output of an endotracheal aspirate assay.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1428	('data item' and 'is specified output of' some 'endotracheal aspirate assay')
OBI:0003255	endotracheal tube aspirate microbiology datum				An organism detection datum that is the specified output of an endotracheal tube aspirate microbiology assay.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1428	('organism detection datum' and 'is specified output of' some 'endotracheal tube aspirate microbiology assay')
OBI:0003256	lung microbiology datum				An organism detection datum that is the specified output of a lung microbiology assay.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1428	('organism detection datum' and 'is specified output of' some 'lung microbiology assay')
OBI:0003257	nasopharyngeal or oropharyngeal swab microbiology datum				An organism detection datum that is the specified output of a nasopharyngeal or oropharyngeal swab microbiology assay.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1428	('organism detection datum' and 'is specified output of' some 'nasopharyngeal or oropharyngeal swab microbiology assay')
OBI:0003258	pleural fluid microbiology datum				An organism detection datum that is the specified output of a pleural fluid microbiology assay.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1428	('organism detection datum' and 'is specified output of' some 'pleural fluid microbiology assay')
OBI:0003259	umbilical cord blood assay datum				A data item that is the specified output of an umbilical cord blood assay.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1428	('data item' and 'is specified output of' some 'umbilical cord blood assay')
OBI:0003260	umbilical cord blood microbiology datum				An organism detection datum that is the specified output of an umbilical cord blood microbiology assay.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1428	('organism detection datum' and 'is specified output of' some 'umbilical cord blood microbiology assay')
OBI:0003261	bacteria in blood datum				A blood microbiology datum that is about bacteria.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1428	('blood microbiology datum' and 'is about' some Bacteria)
OBI:0003262	virus in blood datum				A blood microbiology datum that is about a virus.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1428	('blood microbiology datum' and 'is about' some Viruses)
OBI:0003263	eukaryota in blood datum				A blood microbiology datum that is about eukaryota.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1428	('blood microbiology datum' and 'is about' some Eukaryota)
OBI:0003264	bacteria in feces datum				A feces microbiology datum that is about bacteria.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1428	('feces microbiology datum' and 'is about' some Bacteria)
OBI:0003265	eukaryota in feces datum				A feces microbiology datum that is about eukaryota.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1428	('feces microbiology datum' and 'is about' some Eukaryota)
OBI:0003266	virus in feces datum				A feces microbiology datum that is about a virus.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1428	('feces microbiology datum' and 'is about' some Viruses)
OBI:0003267	eukaryota in urine datum				A urine microbiology datum that is about eukaryota.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1428	('urine microbiology datum' and 'is about' some Eukaryota)
OBI:0003268	bacteria in induced sputum datum				An induced sputum microbiology datum that is about bacteria.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1428	('induced sputum microbiology datum' and 'is about' some Bacteria)
OBI:0003269	eukaryota in induced sputum datum				An induced sputum microbiology datum that is about eukaryota.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1428	('induced sputum microbiology datum' and 'is about' some Eukaryota)
OBI:0003270	virus in induced sputum datum				An induced sputum microbiology datum that is about a virus.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1428	('induced sputum microbiology datum' and 'is about' some Viruses)
OBI:0003271	bacteria in endotracheal tube aspirate datum				An endotracheal tube aspirate microbiology datum that is about bacteria.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1428	('endotracheal tube aspirate microbiology datum' and 'is about' some Bacteria)
OBI:0003272	bacteria in lung datum				A lung microbiology datum that is about bacteria.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1428	('lung microbiology datum' and 'is about' some Bacteria)
OBI:0003273	eukaryota in lung datum				A lung microbiology datum that is about eukaryota.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1428	('lung microbiology datum' and 'is about' some Eukaryota)
OBI:0003274	virus in lung datum				A lung microbiology datum that is about a virus.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1428	('lung microbiology datum' and 'is about' some Viruses)
OBI:0003275	bacteria in nasopharyngeal or oropharyngeal swab datum				A nasopharyngeal or oropharyngeal swab microbiology datum that is about bacteria.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1428	('nasopharyngeal or oropharyngeal swab microbiology datum' and 'is about' some Bacteria)
OBI:0003276	eukaryota in nasopharyngeal or oropharyngeal swab datum				A nasopharyngeal or oropharyngeal swab microbiology datum that is about eukaryota.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1428	('nasopharyngeal or oropharyngeal swab microbiology datum' and 'is about' some Eukaryota)
OBI:0003277	virus in nasopharyngeal or oropharyngeal swab datum				A nasopharyngeal or oropharyngeal swab microbiology datum that is about a virus.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1428	('nasopharyngeal or oropharyngeal swab microbiology datum' and 'is about' some Viruses)
OBI:0003278	bacteria in pleural fluid datum				A pleural fluid microbiology datum that is about bacteria.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1428	('pleural fluid microbiology datum' and 'is about' some Bacteria)
OBI:0003279	eukaryota in pleural fluid datum				A pleural fluid microbiology datum that is about eukaryota.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1428	('pleural fluid microbiology datum' and 'is about' some Eukaryota)
OBI:0003280	virus in pleural fluid datum				A pleural fluid microbiology datum that is about a virus.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1428	('pleural fluid microbiology datum' and 'is about' some Viruses)
OBI:0003281	eukaryota in umbilical cord blood datum				An umbilical cord blood microbiology datum that is about eukaryota.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1428	('umbilical cord blood microbiology datum' and 'is about' some Eukaryota)
OBI:0003365	milk assay datum				A data item that is the specified output of a milk assay.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1515	('data item' and 'is specified output of' some 'milk assay')
OBI:0003382	placental blood microbiology datum				An organism detection datum that is the specified output of a placental blood microbiology assay.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1297	('organism detection datum' and 'is specified output of' some 'placental blood microbiology assay')
OBI:0003383	eukaryota in placental blood datum				A placental blood microbiology datum that is about eukaryota.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1297	('placental blood microbiology datum' and 'is about' some Eukaryota)
OBI:0003417	antigen specific antibodies assay datum				A data item that is the specified output of an antigen specific antibodies assay.	VEuPathDB		John Judkins ORCID:0000-0001-6595-0902				https://github.com/obi-ontology/obi/issues/1526	('data item' and 'is specified output of' some 'antigen specific antibodies assay')
OBI:0003420	antigen specific antibodies in blood assay datum				An antigen specific antibodies assay datum that is the specified output of an antigen specific antibodies in blood assay.	VEuPathDB		John Judkins ORCID:0000-0001-6595-0902				https://github.com/obi-ontology/obi/issues/1526	('antigen specific antibodies assay datum' and 'is specified output of' some 'blood assay')
OBI:0003421	antigen specific antibodies in milk assay datum				An antigen specific antibodies assay datum that is the specified output of an antigen specific antibodies in milk assay.	VEuPathDB		John Judkins ORCID:0000-0001-6595-0902				https://github.com/obi-ontology/obi/issues/1526	('antigen specific antibodies assay datum' and 'is specified output of' some 'milk assay')
OBI:0003577	skin of body microbiology datum				An organism detection datum that is the specified output of a skin of body microbiology assay.	VEuPathDB		John Judkins ORCID:0000-0001-6595-0902				https://github.com/obi-ontology/obi/issues/1680	('organism detection datum' and 'is specified output of' some 'skin of body microbiology assay')
OBI:0003579	bone marrow microbiology datum				An organism detection datum that is the specified output of a bone marrow microbiology assay.	VEuPathDB		John Judkins ORCID:0000-0001-6595-0902				https://github.com/obi-ontology/obi/issues/1680	('organism detection datum' and 'is specified output of' some 'bone marrow microbiology assay')
OBI:0003581	nasal aspirate microbiology datum				An organism detection datum that is the specified output of a nasal aspirate microbiology assay.	VEuPathDB		John Judkins ORCID:0000-0001-6595-0902				https://github.com/obi-ontology/obi/issues/1680	('organism detection datum' and 'is specified output of' some 'nasal aspirate microbiology assay')
